station,parameter,ref,value,quality,name,latitude,longitude,updated,parameter_name,parameter_summary,parameter_unit
98230,19,2024-09-13,11.7,Y,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
97400,19,2024-09-13,7.5,Y,Stockholm-Arlanda Flygplats,59.6269,17.9545,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
97530,19,2024-09-13,6.8,Y,Uppsala Flygplats,59.9,17.593,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
96350,19,2024-09-13,6.0,Y,Västerås,59.6166,16.55,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
71420,19,2024-09-13,8.1,Y,Göteborg A,57.7,11.97,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
52350,19,2024-09-13,6.6,Y,Malmö A,55.6049,12.9843,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
140480,19,2024-09-13,9.7,Y,Umeå Flygplats,63.7947,20.2918,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
180940,19,2024-09-13,4.6,Y,Kiruna Flygplats,67.827,20.3387,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
162860,19,2024-09-13,11.1,Y,Luleå-Kallax Flygplats,65.543,22.124,2024-09-14 09:00:00,Lufttemperatur,"min, 1 gång per dygn",celsius
98230,20,2024-09-13,18.2,Y,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
97400,20,2024-09-13,16.9,Y,Stockholm-Arlanda Flygplats,59.6269,17.9545,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
97530,20,2024-09-13,17.8,Y,Uppsala Flygplats,59.9,17.593,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
96350,20,2024-09-13,18.1,Y,Västerås,59.6166,16.55,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
71420,20,2024-09-13,15.9,Y,Göteborg A,57.7,11.97,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
52350,20,2024-09-13,17.9,Y,Malmö A,55.6049,12.9843,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
140480,20,2024-09-13,16.4,Y,Umeå Flygplats,63.7947,20.2918,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
180940,20,2024-09-13,13.1,Y,Kiruna Flygplats,67.827,20.3387,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
162860,20,2024-09-13,15.2,Y,Luleå-Kallax Flygplats,65.543,22.124,2024-09-14 09:00:00,Lufttemperatur,"max, 1 gång per dygn",celsius
98230,2,2024-09-13,14.6,Y,Stockholm-Observatoriekullen A,59.3417,18.0549,2024-09-14 09:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
97400,2,2024-09-13,12.2,Y,Stockholm-Arlanda Flygplats,59.6269,17.9545,2024-09-14 09:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
97530,2,2024-09-13,12.1,Y,Uppsala Flygplats,59.9,17.593,2024-09-14 09:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
96350,2,2024-09-13,11.6,Y,Västerås,59.6166,16.55,2024-09-14 09:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
71420,2,2024-09-13,12.1,Y,Göteborg A,57.7,11.97,2024-09-14 09:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
52350,2,2024-09-13,12.1,Y,Malmö A,55.6049,12.9843,2024-09-14 09:00:00,Lufttemperatur,"medelvärde 1 dygn, 1 gång/dygn, kl 00",celsius
